,State,Coordinates
0,Alabama,"(130, -77)"
1,Alaska,"(-204, -170)"
2,Arizona,"(-203, -40)"
3,Colorado,"(-112, 20)"
4,Connecticut,"(297, 96)"
5,Delaware,"(275, 42)"
6,Florida,"(220, -145)"
7,Georgia,"(182, -75)"
8,Hawaii,"(-317, -143)"
9,Idaho,"(-216, 122)"
10,Illinois,"(95, 37)"
11,Indiana,"(133, 39)"
12,Iowa,"(38, 65)"
13,Kentucky,"(149, 1)"
14,Louisiana,"(59, -114)"
15,Maine,"(319, 164)"
16,Maryland,"(288, 27)"
17,Massachusetts,"(312, 112)"
18,Minnesota,"(23, 135)"
19,Mississippi,"(94, -78)"
20,Missouri,"(49, 6)"
21,Montana,"(-141, 150)"
22,Nebraska,"(-61, 66)"
23,Nevada,"(-257, 56)"
24,New Hampshire,"(302, 127)"
25,New Mexico,"(-128, -43)"
26,North Carolina,"(239, -22)"
27,North Dakota,"(-44, 158)"
28,Oklahoma,"(-8, -41)"
29,Oregon,"(-278, 138)"
30,Pennsylvania,"(238, 72)"
31,Rhode Island,"(318, 94)"
32,South Carolina,"(218, -51)"
33,South Dakota,"(-44, 109)"
34,Tennessee,"(131, -34)"
35,Texas,"(-38, -106)"
36,Utah,"(-189, 34)"
37,Vermont,"(282, 154)"
38,Virginia,"(234, 12)"
39,Washington,"(-257, 193)"
40,West Virginia,"(200, 20)"
41,Wisconsin,"(83, 113)"
